Column1;Column2;Column3;Column4
Funkce;FREE;PRO;BUSINESS
Poèet eventù;max 1;max 3;neomezenì
Úèastníkù na event;max 20;max 100;neomezenì
Hlasování (polls);max 1;max 3;neomezenì
Avatary;15;40;40
Prémiové šablony;ne;ne;ano
Reklamy;ano;ne;ne
Export výdajù (CSV);ne;ano;ano
Export shrnutí;ne;ano;ano
Spoluorganizátoøi;ne;ano;ano
Opakování akce;ne;ano;ano
Chat;ano;ano;ano
Výdaje;ano;ano;ano
Spolujízda;ano;ano;ano
Pokoje;ano;ano;ano
Harmonogram;ano;ano;ano
Úkoly;ano;ano;ano
Balicí seznam;ano;ano;ano
Wishlist;ano;ano;ano
